# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-p" "-B" "-C" "-F" "GFF3" "-t" "gene" "-g" "locus_tag" "-a" "/home/sararomi/Opemidimeji_2/ref/genome_fixed.gff3" "-o" "/home/sararomi/Opemidimeji_2/results/counts/gene_counts.txt" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_RNA-Seq.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_RNA-Seq.sorted.bam
SAUSA300_RS00280	NC_007793.1	64095	65222	+	1128	0	0	0	0	0	0	0
SAUSA300_RS00285	NC_007793.1	65477	65701	-	225	0	0	0	0	0	0	0
SAUSA300_RS00290	NC_007793.1	65715	66218	-	504	0	0	0	0	0	0	0
SAUSA300_RS00295	NC_007793.1	66234	66545	-	312	0	0	0	0	0	0	0
SAUSA300_RS00300	NC_007793.1	66632	66982	-	351	0	0	0	0	0	0	0
SAUSA300_RS00310	NC_007793.1	68890	69819	-	930	0	0	0	0	0	0	0
SAUSA300_RS00315	NC_007793.1	69839	70837	-	999	0	0	0	0	0	0	0
SAUSA300_RS00320	NC_007793.1	70875	71564	-	690	0	0	0	0	0	0	0
SAUSA300_RS00325	NC_007793.1	71606	73027	-	1422	0	0	0	0	0	0	0
SAUSA300_RS00330	NC_007793.1	73113	74348	-	1236	0	0	0	0	0	0	0
SAUSA300_RS00335	NC_007793.1	74617	75063	-	447	0	0	0	0	0	0	0
SAUSA300_RS00340	NC_007793.1	75565	75996	+	432	0	0	0	0	0	0	0
SAUSA300_RS14985	NC_007793.1	76269	76942	+	674	0	0	0	0	0	0	0
SAUSA300_RS00355	NC_007793.1	77130	77945	+	816	0	0	0	0	0	0	0
SAUSA300_RS00360	NC_007793.1	78246	79445	+	1200	0	0	0	0	0	0	0
SAUSA300_RS00365	NC_007793.1	79705	80397	+	693	0	0	0	0	0	0	0
SAUSA300_RS00370	NC_007793.1	80394	81947	+	1554	0	0	0	0	0	0	0
SAUSA300_RS00375	NC_007793.1	81950	82906	+	957	0	0	0	0	0	0	0
SAUSA300_RS00380	NC_007793.1	82906	83673	+	768	0	0	0	0	0	0	0
SAUSA300_RS00385	NC_007793.1	83640	84407	+	768	0	0	0	0	0	0	0
SAUSA300_RS00390	NC_007793.1	84400	85035	+	636	0	0	0	0	0	0	0
SAUSA300_RS00395	NC_007793.1	86055	88118	+	2064	0	0	0	0	0	0	0
SAUSA300_RS00400	NC_007793.1	88136	88681	+	546	0	0	0	0	0	0	0
SAUSA300_RS00405	NC_007793.1	89109	89243	-	135	0	0	0	0	0	0	0
SAUSA300_RS00410	NC_007793.1	89207	89299	+	93	0	0	0	0	0	0	0
SAUSA300_RS00415	NC_007793.1	89446	91197	+	1752	0	0	0	0	0	0	0
SAUSA300_RS00425	NC_007793.1	91759	91860	-	102	0	0	0	0	0	0	0
SAUSA300_RS00430	NC_007793.1	91958	92713	-	756	0	0	0	0	0	0	0
SAUSA300_RS00435	NC_007793.1	92713	92973	-	261	0	0	0	0	0	0	0
SAUSA300_RS00440	NC_007793.1	93110	94177	+	1068	0	0	0	0	0	0	0
SAUSA300_RS00445	NC_007793.1	94208	95542	+	1335	0	0	0	0	0	0	0
SAUSA300_RS00460	NC_007793.1	97421	98407	-	987	0	0	0	0	0	0	0
SAUSA300_RS00465	NC_007793.1	98716	98919	+	204	0	0	0	0	0	0	0
SAUSA300_RS00470	NC_007793.1	98968	99264	+	297	0	0	0	0	0	0	0
SAUSA300_RS00475	NC_007793.1	99336	100556	-	1221	0	0	0	0	0	0	0
SAUSA300_RS00485	NC_007793.1	101212	102072	+	861	0	0	0	0	0	0	0
SAUSA300_RS00490	NC_007793.1	102427	102960	-	534	0	0	0	0	0	0	0
SAUSA300_RS00495	NC_007793.1	103051	103794	+	744	0	0	0	0	0	0	0
SAUSA300_RS00500	NC_007793.1	104228	104830	+	603	0	0	0	0	0	0	0
SAUSA300_RS00505	NC_007793.1	105097	108249	+	3153	0	0	0	0	0	0	0
SAUSA300_RS00510	NC_007793.1	108306	108788	+	483	0	0	0	0	0	0	0
SAUSA300_RS00515	NC_007793.1	108993	109979	+	987	0	0	0	0	0	0	0
SAUSA300_RS00520	NC_007793.1	110200	110970	+	771	0	0	0	0	0	0	0
SAUSA300_RS00525	NC_007793.1	111022	111792	+	771	0	0	0	0	0	0	0
SAUSA300_RS00530	NC_007793.1	111856	112626	+	771	0	0	0	0	0	0	0
SAUSA300_RS00535	NC_007793.1	112690	113460	+	771	0	0	0	0	0	0	0
SAUSA300_RS00540	NC_007793.1	113554	115791	+	2238	0	0	0	0	0	0	0
SAUSA300_RS00545	NC_007793.1	115942	117120	+	1179	0	0	0	0	0	0	0
SAUSA300_RS00550	NC_007793.1	117122	118510	+	1389	0	0	0	0	0	0	0
SAUSA300_RS00555	NC_007793.1	119003	120664	-	1662	0	0	0	0	0	0	0
SAUSA300_RS00560	NC_007793.1	120990	122765	-	1776	0	0	0	0	0	0	0
SAUSA300_RS00565	NC_007793.1	122939	123811	-	873	0	0	0	0	0	0	0
SAUSA300_RS00570	NC_007793.1	123924	125321	+	1398	0	0	0	0	0	0	0
SAUSA300_RS00575	NC_007793.1	125511	125984	+	474	0	0	0	0	0	0	0
SAUSA300_RS00580	NC_007793.1	126246	127838	+	1593	0	0	0	0	0	0	0
SAUSA300_RS00585	NC_007793.1	128167	129693	-	1527	0	0	0	0	0	0	0
SAUSA300_RS00590	NC_007793.1	130114	130866	-	753	0	0	0	0	0	0	0
SAUSA300_RS00595	NC_007793.1	131235	132233	-	999	0	0	0	0	0	0	0
SAUSA300_RS00600	NC_007793.1	132230	133225	-	996	0	0	0	0	0	0	0
SAUSA300_RS00605	NC_007793.1	133241	134233	-	993	0	0	0	0	0	0	0
SAUSA300_RS00610	NC_007793.1	134464	135444	+	981	0	0	0	0	0	0	0
SAUSA300_RS00615	NC_007793.1	135441	136451	+	1011	0	0	0	0	0	0	0
SAUSA300_RS00620	NC_007793.1	136472	138226	+	1755	0	0	0	0	0	0	0
SAUSA300_RS00625	NC_007793.1	138219	139475	+	1257	0	0	0	0	0	0	0
SAUSA300_RS00630	NC_007793.1	139465	141201	+	1737	0	0	0	0	0	0	0
SAUSA300_RS00635	NC_007793.1	141110	142960	+	1851	0	0	0	0	0	0	0
SAUSA300_RS00640	NC_007793.1	142935	143711	+	777	0	0	0	0	0	0	0
SAUSA300_RS00645	NC_007793.1	143711	144913	+	1203	0	0	0	0	0	0	0
SAUSA300_RS00650	NC_007793.1	144917	145681	+	765	0	0	0	0	0	0	0
SAUSA300_RS00660	NC_007793.1	145877	146284	+	408	0	0	0	0	0	0	0
SAUSA300_RS00665	NC_007793.1	146334	146960	+	627	0	0	0	0	0	0	0
SAUSA300_RS00670	NC_007793.1	147172	147948	+	777	0	0	0	0	0	0	0
SAUSA300_RS00675	NC_007793.1	148092	148214	+	123	0	0	0	0	0	0	0
SAUSA300_RS00680	NC_007793.1	148284	149264	+	981	0	0	0	0	0	0	0
SAUSA300_RS00685	NC_007793.1	149227	149919	+	693	0	0	0	0	0	0	0
SAUSA300_RS00690	NC_007793.1	150129	151295	+	1167	0	0	0	0	0	0	0
SAUSA300_RS00695	NC_007793.1	151276	152514	+	1239	0	0	0	0	0	0	0
SAUSA300_RS00700	NC_007793.1	152504	153934	+	1431	0	0	0	0	0	0	0
SAUSA300_RS00705	NC_007793.1	154202	154801	+	600	0	0	0	0	0	0	0
SAUSA300_RS15960	NC_007793.1	155757	155894	+	138	0	0	0	0	0	0	0
SAUSA300_RS00715	NC_007793.1	156086	156841	-	756	0	0	0	0	0	0	0
SAUSA300_RS00725	NC_007793.1	157077	157784	+	708	0	0	0	0	0	0	0
SAUSA300_RS00730	NC_007793.1	157791	159143	+	1353	0	0	0	0	0	0	0
SAUSA300_RS00735	NC_007793.1	159224	159886	+	663	0	0	0	0	0	0	0
SAUSA300_RS00740	NC_007793.1	159914	161092	+	1179	0	0	0	0	0	0	0
SAUSA300_RS00745	NC_007793.1	161223	162038	-	816	0	0	0	0	0	0	0
SAUSA300_RS00750	NC_007793.1	162035	162835	-	801	0	0	0	0	0	0	0
SAUSA300_RS00755	NC_007793.1	162837	163610	-	774	0	0	0	0	0	0	0
SAUSA300_RS00760	NC_007793.1	163824	164780	-	957	0	0	0	0	0	0	0
SAUSA300_RS00765	NC_007793.1	165009	166553	+	1545	0	0	0	0	0	0	0
SAUSA300_RS00770	NC_007793.1	166604	168139	+	1536	0	0	0	0	0	0	0
SAUSA300_RS00790	NC_007793.1	169643	169969	+	327	0	0	0	0	0	0	0
SAUSA300_RS00800	NC_007793.1	171207	173816	+	2610	0	0	0	0	0	0	0
SAUSA300_RS00805	NC_007793.1	174161	174829	+	669	0	0	0	0	0	0	0
SAUSA300_RS00810	NC_007793.1	174845	175531	+	687	0	0	0	0	0	0	0
SAUSA300_RS00815	NC_007793.1	175534	176298	+	765	0	0	0	0	0	0	0
SAUSA300_RS00825	NC_007793.1	178132	179160	+	1029	0	0	0	0	0	0	0
SAUSA300_RS00830	NC_007793.1	179173	180282	+	1110	0	0	0	0	0	0	0
SAUSA300_RS00835	NC_007793.1	180286	181410	+	1125	0	0	0	0	0	0	0
SAUSA300_RS00840	NC_007793.1	181413	182039	+	627	0	0	0	0	0	0	0
SAUSA300_RS00845	NC_007793.1	182044	183153	+	1110	0	0	0	0	0	0	0
SAUSA300_RS00850	NC_007793.1	183167	184333	+	1167	0	0	0	0	0	0	0
SAUSA300_RS00855	NC_007793.1	184326	185531	+	1206	0	0	0	0	0	0	0
SAUSA300_RS00860	NC_007793.1	185532	186737	+	1206	0	0	0	0	0	0	0
SAUSA300_RS00865	NC_007793.1	186748	187305	+	558	0	0	0	0	0	0	0
SAUSA300_RS00870	NC_007793.1	187305	188192	+	888	0	0	0	0	0	0	0
SAUSA300_RS00875	NC_007793.1	188246	189508	+	1263	0	0	0	0	0	0	0
SAUSA300_RS00880	NC_007793.1	189585	190730	+	1146	0	0	0	0	0	0	0
SAUSA300_RS00885	NC_007793.1	190795	191121	-	327	0	0	0	0	0	0	0
SAUSA300_RS00890	NC_007793.1	191128	191511	-	384	0	0	0	0	0	0	0
SAUSA300_RS00895	NC_007793.1	191938	193425	+	1488	0	0	0	0	0	0	0
SAUSA300_RS00900	NC_007793.1	194071	195030	+	960	0	0	0	0	0	0	0
SAUSA300_RS00905	NC_007793.1	195092	195295	-	204	0	0	0	0	0	0	0
SAUSA300_RS00910	NC_007793.1	195474	195986	+	513	0	0	0	0	0	0	0
SAUSA300_RS00915	NC_007793.1	196328	197068	+	741	0	0	0	0	0	0	0
SAUSA300_RS00920	NC_007793.1	197082	198056	+	975	0	0	0	0	0	0	0
SAUSA300_RS00925	NC_007793.1	198053	198814	+	762	0	0	0	0	0	0	0
SAUSA300_RS00930	NC_007793.1	198827	199858	+	1032	0	0	0	0	0	0	0
SAUSA300_RS00935	NC_007793.1	200075	200434	+	360	0	0	0	0	0	0	0
SAUSA300_RS00940	NC_007793.1	200607	201632	+	1026	0	0	0	0	0	0	0
SAUSA300_RS00945	NC_007793.1	202018	203268	+	1251	0	0	0	0	0	0	0
SAUSA300_RS00950	NC_007793.1	203715	210890	+	7176	0	0	0	0	0	0	0
SAUSA300_RS00955	NC_007793.1	210903	211547	+	645	0	0	0	0	0	0	0
SAUSA300_RS00960	NC_007793.1	211875	212354	-	480	0	0	0	0	0	0	0
SAUSA300_RS00965	NC_007793.1	212624	213388	-	765	0	0	0	0	0	0	0
SAUSA300_RS00970	NC_007793.1	213404	214645	-	1242	0	0	0	0	0	0	0
SAUSA300_RS00975	NC_007793.1	214657	215688	-	1032	0	0	0	0	0	0	0
SAUSA300_RS00980	NC_007793.1	215727	216911	-	1185	0	0	0	0	0	0	0
SAUSA300_RS00985	NC_007793.1	217164	218519	-	1356	0	0	0	0	0	0	0
SAUSA300_RS00990	NC_007793.1	218795	219352	-	558	0	0	0	0	0	0	0
SAUSA300_RS00995	NC_007793.1	219419	221059	-	1641	0	0	0	0	0	0	0
SAUSA300_RS01000	NC_007793.1	221253	221354	+	102	0	0	0	0	0	0	0
SAUSA300_RS01005	NC_007793.1	221333	223378	-	2046	0	0	0	0	0	0	0
SAUSA300_RS01010	NC_007793.1	223964	225019	+	1056	0	0	0	0	0	0	0
SAUSA300_RS01015	NC_007793.1	225019	225915	+	897	0	0	0	0	0	0	0
SAUSA300_RS01020	NC_007793.1	225927	227381	+	1455	0	0	0	0	0	0	0
SAUSA300_RS01025	NC_007793.1	227384	228259	+	876	0	0	0	0	0	0	0
SAUSA300_RS01030	NC_007793.1	228453	228734	-	282	0	0	0	0	0	0	0
SAUSA300_RS01035	NC_007793.1	228947	231736	+	2790	0	0	0	0	0	0	0
SAUSA300_RS01040	NC_007793.1	231941	232783	+	843	0	0	0	0	0	0	0
SAUSA300_RS01045	NC_007793.1	232785	233708	+	924	0	0	0	0	0	0	0
SAUSA300_RS01050	NC_007793.1	233695	234807	+	1113	0	0	0	0	0	0	0
SAUSA300_RS01055	NC_007793.1	235072	236664	-	1593	0	0	0	0	0	0	0
SAUSA300_RS01060	NC_007793.1	236621	238099	+	1479	0	0	0	0	0	0	0
SAUSA300_RS01065	NC_007793.1	238105	239268	+	1164	0	0	0	0	0	0	0
SAUSA300_RS01070	NC_007793.1	239285	241060	+	1776	0	0	0	0	0	0	0
SAUSA300_RS01075	NC_007793.1	241098	243104	+	2007	0	0	0	0	0	0	0
SAUSA300_RS01080	NC_007793.1	243402	244175	-	774	0	0	0	0	0	0	0
SAUSA300_RS01085	NC_007793.1	244365	244991	-	627	0	0	0	0	0	0	0
SAUSA300_RS01090	NC_007793.1	245200	245778	+	579	0	0	0	0	0	0	0
SAUSA300_RS01095	NC_007793.1	246161	247258	+	1098	0	0	0	0	0	0	0
SAUSA300_RS01100	NC_007793.1	247271	248542	+	1272	0	0	0	0	0	0	0
SAUSA300_RS01105	NC_007793.1	248545	249813	+	1269	0	0	0	0	0	0	0
SAUSA300_RS01110	NC_007793.1	249815	250654	+	840	0	0	0	0	0	0	0
SAUSA300_RS01115	NC_007793.1	250728	251804	+	1077	0	0	0	0	0	0	0
SAUSA300_RS01120	NC_007793.1	251829	252869	+	1041	0	0	0	0	0	0	0
SAUSA300_RS01125	NC_007793.1	252924	253892	+	969	0	0	0	0	0	0	0
SAUSA300_RS01130	NC_007793.1	254254	254748	-	495	0	0	0	0	0	0	0
SAUSA300_RS01135	NC_007793.1	254981	256360	+	1380	0	0	0	0	0	0	0
SAUSA300_RS01140	NC_007793.1	256719	257477	-	759	0	0	0	0	0	0	0
SAUSA300_RS01145	NC_007793.1	257470	259026	-	1557	0	0	0	0	0	0	0
SAUSA300_RS01150	NC_007793.1	259023	259991	-	969	0	0	0	0	0	0	0
SAUSA300_RS01155	NC_007793.1	260579	262828	+	2250	0	0	0	0	0	0	0
SAUSA300_RS01160	NC_007793.1	262851	263606	+	756	0	0	0	0	0	0	0
SAUSA300_RS01170	NC_007793.1	263942	265705	+	1764	0	0	0	0	0	0	0
SAUSA300_RS01175	NC_007793.1	265869	266213	-	345	0	0	0	0	0	0	0
SAUSA300_RS01180	NC_007793.1	266403	268232	+	1830	0	0	0	0	0	0	0
SAUSA300_RS01185	NC_007793.1	268414	268521	-	108	0	0	0	0	0	0	0
SAUSA300_RS01195	NC_007793.1	268835	270019	-	1185	0	0	0	0	0	0	0
SAUSA300_RS01200	NC_007793.1	270049	272310	-	2262	0	0	0	0	0	0	0
SAUSA300_RS01205	NC_007793.1	272496	273707	-	1212	0	0	0	0	0	0	0
SAUSA300_RS01210	NC_007793.1	273819	275324	-	1506	0	0	0	0	0	0	0
SAUSA300_RS01215	NC_007793.1	275350	276927	-	1578	0	0	0	0	0	0	0
SAUSA300_RS01220	NC_007793.1	277368	278510	+	1143	0	0	0	0	0	0	0
SAUSA300_RS01225	NC_007793.1	278824	280299	-	1476	0	0	0	0	0	0	0
SAUSA300_RS01230	NC_007793.1	280497	280853	-	357	0	0	0	0	0	0	0
SAUSA300_RS01235	NC_007793.1	281010	281183	-	174	0	0	0	0	0	0	0
SAUSA300_RS01240	NC_007793.1	281209	282354	-	1146	0	0	0	0	0	0	0
SAUSA300_RS01245	NC_007793.1	282509	282616	+	108	0	0	0	0	0	0	0
SAUSA300_RS01250	NC_007793.1	282927	283880	+	954	0	0	0	0	0	0	0
SAUSA300_RS16065	NC_007793.1	284048	284173	-	126	0	0	0	0	0	0	0
SAUSA300_RS01260	NC_007793.1	284200	285729	-	1530	0	0	0	0	0	0	0
SAUSA300_RS01265	NC_007793.1	286091	287026	+	936	0	0	0	0	0	0	0
SAUSA300_RS01270	NC_007793.1	287136	287234	+	99	0	0	0	0	0	0	0
SAUSA300_RS01275	NC_007793.1	287365	289461	+	2097	0	0	0	0	0	0	0
SAUSA300_RS01280	NC_007793.1	289446	289913	+	468	0	0	0	0	0	0	0
SAUSA300_RS01285	NC_007793.1	289936	290214	+	279	0	0	0	0	0	0	0
SAUSA300_RS01290	NC_007793.1	290441	291700	+	1260	0	0	0	0	0	0	0
SAUSA300_RS01295	NC_007793.1	291718	292773	+	1056	0	0	0	0	0	0	0
SAUSA300_RS01300	NC_007793.1	292775	292921	+	147	0	0	0	0	0	0	0
SAUSA300_RS01305	NC_007793.1	292945	293988	+	1044	0	0	0	0	0	0	0
SAUSA300_RS01310	NC_007793.1	294516	295232	+	717	0	0	0	0	0	0	0
SAUSA300_RS01315	NC_007793.1	295225	296250	+	1026	0	0	0	0	0	0	0
SAUSA300_RS01320	NC_007793.1	296272	297966	+	1695	0	0	0	0	0	0	0
SAUSA300_RS01325	NC_007793.1	298394	299563	+	1170	0	0	0	0	0	0	0
SAUSA300_RS01330	NC_007793.1	299839	300555	+	717	0	0	0	0	0	0	0
SAUSA300_RS01335	NC_007793.1	300548	301573	+	1026	0	0	0	0	0	0	0
SAUSA300_RS01340	NC_007793.1	301595	303283	+	1689	0	0	0	0	0	0	0
SAUSA300_RS01345	NC_007793.1	303316	305040	+	1725	0	0	0	0	0	0	0
SAUSA300_RS01350	NC_007793.1	305180	305854	+	675	0	0	0	0	0	0	0
SAUSA300_RS01355	NC_007793.1	306101	307855	+	1755	0	0	0	0	0	0	0
SAUSA300_RS01360	NC_007793.1	307858	308598	+	741	0	0	0	0	0	0	0
SAUSA300_RS01365	NC_007793.1	308711	309154	+	444	0	0	0	0	0	0	0
SAUSA300_RS01370	NC_007793.1	309147	309848	+	702	0	0	0	0	0	0	0
SAUSA300_RS01375	NC_007793.1	309956	310660	-	705	0	0	0	0	0	0	0
SAUSA300_RS01380	NC_007793.1	310809	311600	+	792	0	0	0	0	0	0	0
SAUSA300_RS01385	NC_007793.1	311616	313052	+	1437	0	0	0	0	0	0	0
SAUSA300_RS01395	NC_007793.1	313486	314247	-	762	0	0	0	0	0	0	0
SAUSA300_RS01400	NC_007793.1	314266	314400	+	135	0	0	0	0	0	0	0
